Module,Spearman_rho,P_value,Num_modules_compared
Ast1,0.5969924812030075,0.005451989383349594,20
Ast2,0.2992481203007519,0.1999404529048871,20
Ast3,0.5503759398496241,0.011919637001913331,20
Ast4,0.2796992481203007,0.23234786067734586,20
Ast5,0.012030075187969924,0.9598534442846784,20
Ast7,0.1518796992481203,0.5226819111403139,20
Ast8,0.193984962406015,0.4125038246613568,20
Ast9,0.38195488721804516,0.09653857766782038,20
Ast10,0.3293233082706767,0.15623105162611672,20
Ast11,-0.08571428571428572,0.7193660879190987,20
Ast12,0.5112781954887218,0.021220644133224758,20
Ast13,0.4526315789473684,0.04507568878304835,20
Ast14,0.5639097744360902,0.009606971537576621,20
Ast15,0.4466165413533834,0.04837283310926692,20
Ast16,0.45112781954887216,0.04588325880000641,20
Ast17,0.5428571428571428,0.01338720542801516,20
Ast18,0.4781954887218045,0.032950383214957614,20
Ast19,0.4796992481203006,0.032326069200214205,20
Ast20,0.07669172932330826,0.7479334475419401,20
Mic1,0.2771929824561403,0.25058889481209123,19
Mic2,-0.6982456140350877,0.0008846991322268252,19
Mic3,-0.7385964912280703,0.00030430186721349956,19
Mic4,-0.042105263157894736,0.864107517640632,19
Mic5,0.23859649122807017,0.3252545411782847,19
Mic6,-0.5070175438596491,0.026719055618913898,19
Mic8,0.5789473684210525,0.009396104149244383,19
Mic9,-0.6508771929824562,0.0025440361860112233,19
Mic10,-0.8175438596491227,1.9166593666400625e-05,19
Mic11,0.5491228070175439,0.014889997605272248,19
Mic12,-0.7035087719298245,0.0007772711951260756,19
Mic13,-0.5368421052631579,0.017790451903171158,19
Mic14,-0.8245614035087718,1.4086328903713013e-05,19
Mic15,-0.6333333333333333,0.003602635903193457,19
Mic16,-0.3596491228070175,0.13043678910162934,19
Mic17,-0.2771929824561403,0.25058889481209123,19
Mic18,-0.7210526315789473,0.0004947294682852213,19
Mic19,-0.419298245614035,0.07393698475441418,19
Mic20,-0.8070175438596491,2.9715374434787916e-05,19
Mic21,-0.5368421052631579,0.017790451903171158,19
